x,y,demands,order
319.929150241067,141.220994064409,5.21,"68,88,112,154,266,458,508,522,682,741,939,947"
94.8154662546601,232.057109482018,3.71,"40,99,111,145,214,383,394,450,649,824"
189.515416341846,442.069253411237,4.91,"66,169,315,427,563,568,571,628,683,839,914"
183.499322739873,276.220943134841,4.95,"126,151,229,239,287,491,668,705,745,784,937"
480.225876591538,42.2013581626289,3.7,"113,200,430,432,500,572,643,663,723"
424.671805398164,374.710901064536,3.95,"134,142,181,271,343,351,706,734,783,874"
314.443278371439,244.478818267934,4.02,"32,51,132,307,334,516,556,686,727"
449.691537112048,68.6882222551045,3.08,"101,120,380,465,471,645,722,884"
151.291855253372,202.840190982663,5.75,"79,127,174,183,215,218,303,420,693,749,833,848,987"
42.8686667996587,268.164446745756,3.24,"291,580,842,864,875,949,958,986"
367.72424071664,52.5015613066626,3.83,"44,253,295,452,636,655,838,943,991"
290.34092780696,468.687002635863,5.76,"5,64,72,642,657,711,730,777,818,828,879,971,979,984"
272.747719189909,424.496398133368,3.94,"33,53,95,141,357,398,438,565,804,863"
127.408796975806,17.2454630603739,5.51,"23,57,149,180,311,487,514,619,707,793,924,970,985"
421.164632602572,310.341551786155,3.66,"26,255,337,402,503,547,618,678,721"
401.443341317632,455.166542589002,7.04,"148,163,199,270,274,294,476,486,576,608,689,746,821,836,843,952,953"
36.0440344325225,205.689010520055,5.6,"49,98,201,290,374,419,421,496,531,603,779,806,931"
254.886924233858,358.956146129374,3.11,"242,342,557,582,854,871,891,957"
452.839734735382,218.261474835881,1.96,"222,316,431,794,829"
210.244358118477,221.217247145224,4.82,"212,314,399,440,513,532,610,690,700,744,856"
428.9248715499,34.4232211355076,1.76,"42,102,361,675"
260.251926578215,395.990741486714,3.98,"77,84,143,227,404,457,466,519,739"
229.883950610665,466.408684890941,4.93,"65,136,144,187,272,279,352,485,569,640,696,888,899"
12.8558882792325,252.701256615476,2.19,"76,228,362,388,493,602"
246.891161732065,284.753216979697,4.48,"82,178,243,267,283,363,375,735,862,923,989"
444.277777414981,488.140765305546,2.9,"28,369,371,435,716,944"
440.090967636233,187.311179771887,3.48,"161,210,304,577,600,731,778,956"
125.906337898083,130.823222939143,6,"27,165,276,403,481,510,583,714,782,845,850,898,959,990"
79.1930312570582,423.062841134417,2.41,"354,410,416,769,966"
5.05035991256214,354.483828157498,0.69,"39,930"
144.467300870296,76.7427100436338,3.94,"288,327,329,367,381,550,638,717,720"
250.004122578018,15.9542674172423,3.8,"254,366,548,660,750,758,841,870"
401.729846140548,79.6598022894671,4.63,"11,123,447,467,504,653,763,764,837,940"
350.938163143008,97.7374862791951,1.71,"97,589,605,918"
453.22560095602,418.906006378167,2.72,"86,195,205,245,356,666,704"
377.262897762633,350.835415307069,3.57,"30,50,241,530,624,685,742,798,834"
29.9045085249877,76.5180323257456,6.36,"21,31,56,105,135,264,344,384,386,543,616,665,767,799,954"
475.175238336814,193.947886518241,2.31,"9,60,676,787,902,905"
151.032511848586,330.185509620155,7.06,"25,93,263,400,433,434,448,475,533,553,661,732,743,768,796,812,855"
276.593443526994,161.113248359183,2.3,"58,130,234,482,646,816"
356.842624085908,301.957252163246,4.46,"83,124,328,376,520,586,752,800,955,982,997"
441.415431046936,117.357359664623,2.93,"216,335,526,709,817,860,977"
193.85087374772,86.7468769932328,5.39,"85,172,185,204,317,379,470,495,773,866,868,893"
230.262891578264,88.0020942234728,2.41,"1,41,346,479,567,896"
